,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link,only_city,low,heigh,mean_money
88,python开发工程师,企,18-30万,北京,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月04日,马上消费金融股份有限公司,基金/证券/期货/投资,1000-2000人,https://www.liepin.com/job/1911159974.shtml,北京,18,30,24.0
89,Python讲师,企,10-19万,上海,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月04日,上海墨桐花开教育科技有限公司,教育/培训/学术/科研/院校,100-499人,https://www.liepin.com/job/199738271.shtml,上海,10,19,14.5
90,python web工程师,企,10-12万,大连-甘井子,统招本科,2年工作经验,投递后：1个工作日内反馈,2017年12月04日,大连莫比嗨客智能科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911063598.shtml,大连,10,12,11.0
91,Web 后端开发工程师(Python),企,12-19万,广州,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月04日,上海瑞玩网络科技有限公司广州分公司,网络游戏,50-99人,https://www.liepin.com/job/1910823331.shtml,广州,12,19,15.5
92,Python工程师,企,18-36万,上海,本科及以上,2年工作经验,投递后：1个工作日内反馈,2017年12月04日,汇智软件,计算机软件,50-99人,https://www.liepin.com/job/197284870.shtml,上海,18,36,27.0
93,Python讲师,企,7-10万,杭州,大专及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月04日,电魂网络科技,网络游戏,500-999人,https://www.liepin.com/job/1910495189.shtml,杭州,7,10,8.5
94,python研发工程师,企,12-24万,武汉-洪山区,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月04日,北京好巧国际旅行社有限公司,全部行业,100-499人,https://www.liepin.com/job/194925505.shtml,武汉,12,24,18.0
95,Python架构师,企,42-49万,北京-海淀区,学历不限,5年工作经验,投递后：5个工作日内反馈,2017年12月04日,尚合远扬,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/196296803.shtml,北京,42,49,45.5
96,python开发工程师,企,18-30万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月04日,北京一天天教育科技有限公司,教育/培训/学术/科研/院校,50-99人,https://www.liepin.com/job/199225873.shtml,北京,18,30,24.0
97,Python开发工程师,企,22-30万,深圳,大专及以上,2年工作经验,投递后：1个工作日内反馈,2017年12月04日,深圳众禄金融控股股份有限公司,基金/证券/期货/投资,100-499人,https://www.liepin.com/job/199033310.shtml,深圳,22,30,26.0
98,C++/Python开发工程师,企,21-42万,北京,统招本科,经验不限,投递后：5个工作日内反馈,2017年12月03日,北京蓦然认知科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/199583974.shtml,北京,21,42,31.5
99,python工程师（中级）,企,面议,廊坊,统招本科,2年工作经验,投递后：1个工作日内反馈,2017年12月03日,新博卓畅技术(北京)有限公司,计算机软件,100-499人,https://www.liepin.com/job/199649326.shtml,廊坊,面议,面议,面议
100,Python 爬虫工程师,企,18-24万,北京,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月06日,银湖网络,基金/证券/期货/投资,1000-2000人,https://www.liepin.com/job/1911203627.shtml,北京,18,24,21.0
101,Python研发工程师（中高级）,企,24-42万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月06日,掌阅科技股份有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/196385572.shtml,北京,24,42,33.0
102,Python课程开发/ 授课,企,面议,上海,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月06日,领翌(上海)科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910838527.shtml,上海,面议,面议,面议
103,"Node.js开发工程师（可接受python,ruby转）",企,面议,上海,大专及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月06日,普华永道信息技术,IT服务/系统集成,10000人以上,https://www.liepin.com/job/1910063550.shtml,上海,面议,面议,面议
104,PYTHON研发工程师,企,30-42万,北京-朝阳区,统招本科,5年工作经验,投递后：2个工作日内反馈,2017年12月06日,实益达科技 麦达数字集团,计算机软件,1000-2000人,https://www.liepin.com/job/199690083.shtml,北京,30,42,36.0
